,São Paulo,Minas Gerais,Paraná,Rio Grande do Sul,Rio de Janeiro,Bahia,Pernambuco,Santa Catarina,Ceará,Goiás,Pará,Maranhão,Espírito Santo,Rio Grande do Norte,Paraíba,Distrito Federal,Mato Grosso do Sul,Piauí,Alagoas,Mato Grosso,Amazonas,Sergipe,Tocantins,Rondônia,Acre,Roraima,Amapá
2017/Abr,263.47175913,136.71509944,106.02768778000001,83.18837966,64.52450656,65.64766521,63.61406264,54.10497628,44.43868132,33.65065421,30.54003673,26.096854699999998,24.90081695,18.22530241,16.71032848,16.523664460000003,15.64660191,15.76167942,15.260073740000001,15.835149880000001,13.71783175,8.505926220000001,6.19683414,8.13348855,2.8113654300000004,2.3921603,1.81347793
2017/Mai,292.11340478,153.41211969,120.53531296,95.14994863,74.31706487000001,75.54964406,70.06041104,60.19592905,47.75943366,37.00197044,33.921112990000005,29.02665211,26.7079934,20.22742564,18.77468027,15.5319986,18.21208117,16.97946475,16.73481688,16.543674210000002,13.909566029999999,9.086764550000002,6.542051610000001,8.14063949,3.1614465299999996,2.76153623,2.12567711
2017/Jun,274.30107313999997,144.29143809,111.72526122,93.17241499,69.85402857,67.48975547,65.93122802,58.2960665,47.7534312,33.66385368,31.80859747,27.315185489999998,25.313642379999997,18.86144544,17.436389329999997,18.57361032,16.3230176,15.51418316,15.50816995,16.19403775,13.718828460000001,8.668664289999999,6.590321019999999,8.0412488,3.35522335,2.69921385,2.12857823
2017/Jul,283.53461742,147.53349674,118.59017207,94.41525759000001,73.15485455,71.94511375,66.68633296,58.36242447,47.80081245,33.95834189,32.133134420000005,28.47906068,26.0219255,18.76651459,17.99520252,17.54137812,16.89256636,15.403020269999999,16.47513453,16.50840255,14.39621086,9.021660599999999,6.1487823399999995,8.19903267,3.56269154,2.68274628,1.87312082
2017/Ago,300.59373896,156.05555343,122.12283572,94.22815801,74.54192499,74.14926996,71.40736066,60.18108042,48.45553104,36.89936718,33.770556649999996,29.340983809999997,26.797874699999998,20.02897678,19.35170153,19.14309184,17.01978773,15.7205993,16.99318355,16.74937727,13.745304220000001,8.965880619999998,6.4852592,8.36338607,3.37529664,2.8911002000000003,1.99085021
2017/Set,267.29724395,142.28510384,110.65614771999999,86.42477365,68.72944679999999,68.13850052,63.9178687,55.16833949,45.91145082,32.72145805,32.97992538,27.271119780000003,25.33630529,18.5312626,18.646289969999998,17.94984452,15.80830419,15.30738792,16.0398911,15.41629284,13.97979294,8.464509210000001,5.585288,7.8898195,3.34149758,2.73767778,1.92080756
2017/Out,287.11478448,148.30609414,117.56769191,91.59817914,73.08489963,71.75453281,69.13965379999999,56.65527859,49.1678649,35.62149615,33.66504235,28.743285699999998,26.87583629,18.12257713,18.245810010000003,18.20021374,16.07164595,15.6563461,16.428152869999998,16.25154559,13.895515900000001,8.67932584,5.603258019999999,8.60394385,3.35837805,2.69372629,1.9151766399999999
2017/Nov,267.11324903999997,142.32394476,112.45752294,85.79370048,69.26088270999999,68.33984068000001,63.16138739,56.06945496,44.738803600000004,32.53539677,33.47554529,28.08315775,25.257656899999997,18.169461870000003,17.985557309999997,17.40970146,15.68700065,15.60546166,16.46053089,14.65989499,13.518116800000001,7.57899817,4.71304668,8.04839825,3.14538544,2.6714515299999997,1.78292717
2017/Dez,259.45168590000003,138.34119184,105.55812329000001,82.73757448,67.31662213,64.79952304,61.49303336,52.42652716,44.44211637,32.33257353,32.06793467,27.08323319,24.27612139,18.11825843,16.38832231,16.03871079,15.04036893,15.04288908,15.069229609999999,14.473688300000001,13.635186019999999,7.350893950000001,5.50636607,8.15973749,2.6387739199999998,2.6883157,1.61077922
2018/Jan,279.49757088999996,146.50161807,116.13319349,91.82567154,72.33987822,70.33740126000001,66.78427134,55.20033053,48.58628474,33.70229307,33.61583609,29.401736850000002,25.48024819,19.045469420000003,17.867994890000002,18.97684656,16.146431630000002,15.979472640000001,16.40762375,15.578896349999999,14.549450859999999,9.3135564,5.63274575,8.457455710000001,2.96816875,2.7409520699999996,1.8882166699999998
2018/Fev,254.00462807,130.70212627,107.07598223999999,77.58201238,65.01705187,60.856693719999996,59.2865515,50.09467265,42.120360659999996,30.92346258,30.62349162,26.330254030000003,22.68667267,18.25403458,16.83028457,18.38924038,14.703494869999998,13.63529355,14.10828371,14.59242867,12.75355536,7.81777209,4.7107642400000005,7.7669832,2.76979739,2.47834944,1.756846
2018/Mar,285.27055962000003,151.49624519,122.33135451000001,91.07832519,74.38663912,68.97762188,66.01009438,58.796191840000006,48.63725849,34.86171153,34.121931,29.89518177,25.26672961,20.97218731,18.65984018,19.74654297,16.969878140000002,16.16424927,17.291774710000002,17.252931320000002,14.74940947,9.831536210000001,5.12095306,8.85884557,3.05763196,2.67495894,1.8697465
2018/Abr,286.19196506000003,150.68760294999998,124.73134517,91.92677379999999,74.5180963,70.89195896,67.8488161,61.16070955,50.80562571,33.76450314,35.039954200000004,30.89706802,25.97510639,20.717428899999998,18.830153600000003,19.508159579999997,17.062906920000003,16.31357841,18.077005489999998,15.921801140000001,14.57793081,8.649405830000001,5.3472444900000005,8.407076439999999,2.87496531,2.72126119,2.0092114
2018/Mai,291.44094701999995,153.58925944,127.07385311,91.67813198,79.25977509,73.08366568000001,71.20973304,60.093810340000005,51.998581310000006,36.357757299999996,35.424611060000004,30.281504239999997,27.44456456,21.99185964,19.53678789,19.463161260000003,17.06819256,17.27022367,18.191826640000002,16.73227217,15.38106196,9.12732357,5.95596829,9.49293892,3.17557517,2.84481166,2.09222929
2018/Jun,278.92601836,150.25175137,122.61692402,90.98988784999999,75.90770863,68.36962654999999,66.92656113,61.23793218,47.40680541,33.49221173,34.16028318,28.45397346,24.44462213,20.90980817,18.66877293,18.40038835,17.1430323,16.13288717,16.60161644,16.07507371,14.653650769999999,9.14158881,5.48440152,8.20619592,3.0609032099999998,2.96716135,2.047927
2018/Jul,285.85191968,156.63399016,127.9919008,94.86100809999999,77.48669197,74.87773512000001,67.76358278000001,63.70950655,47.91655796,35.3138844,34.484949490000005,30.8069653,25.71679637,21.54486414,19.04687799,18.783802780000002,17.4350399,16.2166855,18.0178032,16.47900811,15.544595789999999,9.026038830000001,5.44576744,9.01161258,3.2530116099999997,2.8415879700000004,2.2602107200000003
